ga:source,ga:pageviews,ga:bounceRate,ga:transactions,ga:sessions,ga:impressions,ga:adClicks,ga:CTR
(direct),14537,32.922201138519924,10,2108,0,0,0.0
facebook,11740,52.688756110809344,0,3682,0,0,0.0
instagram,6338,30.43137254901961,0,1275,0,0,0.0
google,6291,69.52141057934509,1,2382,304524,2655,0.8718524648303583
l.instagram.com,4410,25.166666666666664,1,600,0,0,0.0
m.facebook.com,873,35.58282208588957,0,163,0,0,0.0
june_edm,704,53.62903225806451,0,248,0,0,0.0
facebook.com,325,33.89830508474576,0,59,0,0,0.0
payment.ipay88.co.id,185,34.375,0,32,0,0,0.0
ibnads.xl.co.id,159,46.42857142857143,0,28,0,0,0.0
bonia.com,158,59.25925925925925,0,27,0,0,0.0
com.google.android.googlequicksearchbox,157,16.666666666666664,0,18,0,0,0.0
lm.facebook.com,132,36.36363636363637,0,22,0,0,0.0
yahoo,88,25.0,0,12,0,0,0.0
linkedin.com,49,36.36363636363637,0,22,0,0,0.0
bing,41,30.0,0,10,0,0,0.0
l.facebook.com,34,82.35294117647058,0,17,0,0,0.0
law-enforcement-bot-ff.xyz,30,100.0,0,30,0,0,0.0
id.search.yahoo.com,28,0.0,0,2,0,0,0.0
instagram.com,16,50.0,0,2,0,0,0.0
indonesia edm,12,75.0,0,4,0,0,0.0
lnkd.in,11,80.0,0,5,0,0,0.0
duckduckgo.com,7,50.0,0,2,0,0,0.0
caseofmine.com,5,100.0,0,5,0,0,0.0
forum.topic77288937.ilovevitaly.xyz,4,100.0,0,4,0,0,0.0
googleweblight.com,4,0.0,0,1,0,0,0.0
glitzmedia.co,3,0.0,0,1,0,0,0.0
instagra,2,100.0,0,2,0,0,0.0
mobile.facebook.com,2,0.0,0,1,0,0,0.0
outlook.live.com,2,100.0,0,2,0,0,0.0
review.intern.facebook.com,2,0.0,0,1,0,0,0.0
mail.bonia.com,1,100.0,0,1,0,0,0.0
sms,1,100.0,0,1,0,0,0.0
